industry,occupation,yrs_qual,sex,highest_qual,area_of_study,influencing,negotiating,sector,workforce_change,no_subordinates,choose_hours,choose_method,job_quals,qual_needed,experience_needed,keeping_current,satisfaction,advising,instructing,problem_solving_quick,problem_solving_long,labour,manual_skill,computer,group_meetings,computer_level,monthly_salary
S,2,12,1,7,4,5,4,3,1,4,4,5,7,1,1,4,1,5,5,5,4,2,2,1,3,2,4033.333333
G,5,12,2,7,1,5,2,1,3,0,4,4,7,2,1,4,1,4,4,4,3,5,5,1,1,1,1733.333333
P,5,12,1,7,1,1,1,2,1,0,2,4,7,1,1,1,2,3,5,5,3,1,1,1,1,3,117
Q,2,16,2,12,8,1,1,3,3,0,1,2,11,1,1,3,2,5,3,5,2,5,5,1,1,2,7166.666667
E,2,14,1,11,5,1,1,1,3,0,5,4,11,1,3,4,1,3,2,5,5,1,2,1,2,3,1060.833333
Q,2,19,2,13,8,4,2,3,3,0,3,4,13,1,6,5,2,5,5,5,4,4,4,1,3,2,22500
P,2,18,1,13,5,1,2,1,3,3,2,1,13,3,6,5,2,4,5,3,2,5,5,1,2,1,6666.666667
O,3,18,1,13,4,1,1,2,2,0,4,5,7,1,6,3,2,4,2,5,4,1,5,1,2,2,1083.333333
K,3,12,2,7,8,5,5,2,3,0,1,2,12,1,3,5,2,5,1,5,5,1,5,1,1,2,2946.666667
P,2,12,2,7,8,5,5,1,2,1,2,4,7,2,1,3,2,5,5,5,3,5,5,1,1,1,2426.666667
Q,2,21,2,14,8,1,1,3,3,2,1,3,14,1,4,5,1,5,2,5,4,2,5,1,2,1,9125
R,2,12,2,7,2,4,4,1,3,3,1,4,7,2,5,5,2,5,3,4,4,5,1,1,1,2,500
Q,4,12,2,7,4,1,1,1,3,0,2,2,9,2,3,1,2,2,1,2,1,1,1,2,1,0,1698.666667
S,3,12,1,7,4,5,5,1,1,0,2,4,9,2,5,5,2,5,1,5,4,1,5,1,5,1,8166.666667
P,2,21,1,14,5,4,1,1,3,0,3,4,14,1,6,4,1,4,5,3,2,1,3,1,1,3,6250
Q,3,12,2,7,8,1,1,1,3,3,1,4,7,1,6,2,2,4,4,4,3,1,5,1,1,2,3186.666667
P,2,16,2,12,2,5,1,2,3,0,1,4,12,1,1,2,2,5,5,4,2,5,5,1,1,1,1430
J,2,16,2,12,3,1,1,1,1,0,1,4,12,2,3,4,2,3,1,5,4,4,4,1,4,3,5500
C,2,16,1,12,6,4,4,1,1,0,4,4,12,1,4,2,4,2,2,2,4,1,1,1,4,2,5250
M,2,16,2,12,4,3,1,1,3,0,2,3,12,1,3,4,1,3,1,5,4,1,5,1,4,2,3187.5
G,5,16,2,12,2,1,4,2,1,0,3,3,7,1,3,5,2,5,1,5,3,2,5,1,1,1,1132.916667
J,3,16,1,12,9,5,5,1,3,0,4,3,9,3,4,4,2,5,4,4,4,5,5,1,4,2,10833.33333
D,9,16,2,12,3,1,1,2,3,0,1,5,7,1,1,2,2,5,4,5,1,5,5,2,1,0,5881.2
O,3,14,2,11,4,1,1,2,2,0,4,3,9,2,3,5,3,1,2,3,2,1,5,1,1,2,2556.666667
F,1,16,1,12,5,4,5,1,1,3,5,5,12,1,6,5,2,5,4,5,4,3,5,1,2,2,12083.33333
P,2,18,2,13,2,5,5,2,3,0,1,3,13,1,5,5,2,4,5,5,3,2,5,1,2,1,7083.333333
C,8,12,1,7,1,1,1,2,1,0,1,4,7,1,1,5,1,5,5,5,5,5,5,1,1,2,3333.333333
F,7,12,1,7,6,5,1,1,3,1,1,5,7,2,6,5,2,5,5,5,5,5,5,2,1,0,3033.333333
C,3,16,1,12,4,5,5,2,3,0,4,5,12,1,5,3,1,5,4,5,4,2,2,1,4,2,11250
K,1,14,2,11,4,3,3,2,3,4,3,2,12,2,6,5,2,4,5,5,4,1,5,1,5,2,6333.333333
Q,2,18,2,13,8,1,1,1,1,0,1,3,12,1,3,5,1,1,4,5,5,5,5,1,4,1,7000
S,2,19,1,13,9,4,4,3,3,1,4,5,13,1,6,3,1,4,4,5,4,1,5,1,3,2,5433.333333
Q,5,13,2,9,3,1,1,2,3,0,5,5,7,1,5,5,1,1,1,4,2,5,5,1,1,1,1733.333333
P,5,12,2,7,2,5,1,2,1,0,1,5,7,1,2,3,1,5,5,4,2,5,5,1,1,2,2214.033333
G,5,12,1,7,1,4,1,1,2,0,3,4,3,1,1,5,2,4,2,5,4,5,5,1,1,1,1560
I,1,16,1,12,9,5,3,2,3,5,2,3,11,1,5,2,2,5,5,5,3,5,4,1,2,2,4208.333333
F,4,12,2,7,8,5,5,1,1,0,3,5,7,1,6,5,4,5,2,5,4,1,5,1,1,2,3543
Q,5,12,2,7,5,5,5,3,3,0,5,5,7,1,1,5,2,2,4,5,4,1,5,1,1,2,2953.666667
J,2,16,2,12,5,3,1,1,3,0,1,3,12,2,6,2,2,4,5,4,4,1,5,1,5,2,4000
Q,3,12,1,7,3,4,1,1,3,0,3,3,9,3,6,3,2,5,5,5,4,5,5,2,1,0,2080
I,9,12,1,7,1,4,1,1,3,0,2,3,2,2,1,1,4,5,1,5,1,1,5,1,1,1,415
G,1,12,1,7,8,1,5,1,3,1,1,5,7,2,6,5,1,5,5,5,5,4,5,1,1,1,3041.666667
F,7,6,1,2,0,5,4,1,2,0,2,4,1,1,1,5,2,5,4,5,4,5,5,1,1,1,2625
F,1,16,1,12,6,4,3,1,1,2,3,4,12,1,5,2,2,3,4,5,5,2,2,1,1,2,5583.333333
K,3,12,1,7,4,5,5,1,1,0,2,1,7,1,5,3,1,5,4,5,2,1,5,1,3,1,3170.38
P,2,18,2,13,4,2,1,2,1,0,1,3,13,1,1,4,2,3,5,2,4,1,4,1,1,2,1421.333333
G,3,16,1,12,3,1,1,1,1,0,3,1,12,2,5,5,2,5,2,5,3,3,5,1,3,2,1500
G,4,14,1,11,5,5,1,1,1,3,3,2,11,2,1,5,2,5,4,5,5,1,5,1,3,2,5583.333333
N,4,14,2,11,4,5,5,2,3,0,3,2,7,2,1,3,2,5,5,5,4,1,5,1,1,2,645.6666667
C,8,12,1,7,6,1,1,1,3,0,3,5,7,3,3,5,1,5,4,3,2,1,5,1,1,2,8000
Q,2,16,2,12,8,5,3,3,3,3,2,3,12,1,6,5,2,5,5,5,4,5,5,1,4,2,10000
F,7,9,1,3,0,5,2,1,2,0,1,5,3,2,5,2,3,4,4,4,4,5,5,2,1,0,1560
Q,9,12,2,7,1,1,1,1,3,0,1,1,7,1,5,3,3,1,1,1,1,4,5,1,1,1,530.8333333
Q,3,12,2,7,8,5,5,1,3,0,3,3,9,1,5,5,2,3,2,4,3,1,5,1,5,3,3813.333333
Q,1,18,2,13,2,4,4,3,1,5,4,5,12,2,4,3,2,1,4,5,4,5,5,1,2,2,3272.666667
G,5,16,2,12,4,5,1,1,3,2,3,4,7,1,4,3,4,5,5,4,1,5,5,1,1,2,1880.666667
P,2,14,2,11,2,5,5,1,2,1,2,4,7,3,5,4,3,2,5,5,4,5,5,1,1,1,957.6666667
G,3,16,1,12,9,5,5,1,1,0,1,5,9,2,6,4,2,5,4,5,3,2,2,1,1,2,4333.333333
I,9,12,1,7,1,4,1,1,3,0,3,4,3,1,2,5,2,3,2,5,3,5,5,2,1,0,1300
Q,3,14,2,11,8,1,1,1,1,0,1,2,9,1,3,4,2,1,4,5,1,1,5,1,1,2,3008.333333
M,3,16,2,12,5,2,1,2,3,1,4,3,12,1,5,2,2,3,3,2,2,3,4,1,1,2,6250
C,7,13,1,9,9,1,1,1,3,0,4,4,7,1,1,2,2,4,2,4,3,5,5,1,1,1,3958.333333
G,7,12,1,7,1,4,1,1,3,0,2,3,7,2,2,1,2,5,2,4,2,5,5,1,1,1,2313
S,5,16,2,12,4,5,3,3,3,0,1,5,7,1,4,1,3,1,5,5,2,5,5,2,1,0,156
G,5,12,2,7,5,5,4,1,3,0,1,1,7,1,3,5,1,5,1,4,2,5,5,1,1,1,2110
G,5,12,2,7,1,5,1,1,3,0,1,2,7,2,1,5,2,4,1,5,2,5,5,1,1,1,2916.666667
P,5,14,2,11,2,5,5,2,3,0,1,3,7,1,3,5,3,5,5,5,4,5,5,1,1,2,1341.99
C,8,12,1,7,1,2,1,1,3,1,4,4,7,2,3,5,1,3,4,5,4,5,5,1,2,2,1928.666667
D,9,12,2,7,1,1,2,1,1,0,1,5,7,2,1,5,2,3,2,4,1,5,5,2,1,0,1300
N,5,12,1,7,1,1,1,1,3,0,1,3,7,1,1,3,2,2,1,5,2,1,5,1,1,1,2080
Q,3,9,2,3,0,1,1,1,1,0,2,1,3,2,3,1,1,3,2,5,5,5,5,1,1,1,1534
C,3,16,1,12,6,4,4,1,1,0,3,4,12,2,6,3,1,5,4,5,4,3,3,1,4,2,7850
L,3,18,2,13,4,4,3,3,1,1,3,4,12,1,3,3,4,5,5,5,4,4,5,1,1,2,5833.333333
H,9,12,1,7,6,5,5,1,3,1,1,4,7,1,1,5,2,5,5,5,5,5,5,1,1,1,3550
H,1,12,1,7,4,5,1,1,3,3,3,4,7,2,1,3,3,1,5,5,5,5,5,1,5,2,2639
T,5,13,2,9,8,1,1,1,3,0,1,3,3,2,3,3,3,1,1,4,5,5,3,2,1,0,104
G,5,12,2,7,1,5,1,1,3,0,2,3,7,2,1,5,2,5,4,5,1,5,5,1,1,2,682.5
P,2,16,2,12,2,5,3,2,1,0,1,3,12,1,1,4,2,5,5,5,3,1,5,1,2,2,4166.666667
I,1,14,2,11,8,1,2,2,3,1,1,3,7,1,3,4,2,5,5,5,2,5,5,1,2,2,2600
A,5,12,2,7,4,4,4,1,3,0,3,4,7,2,3,5,2,4,4,4,4,5,5,2,1,0,1408.333333
J,5,12,1,7,1,2,1,1,2,0,1,1,7,1,1,1,2,1,1,2,1,5,1,1,1,1,1525.333333
P,2,16,2,12,5,1,1,3,3,0,1,4,12,1,6,1,3,1,1,5,5,1,5,1,1,3,6500
D,3,12,1,7,6,1,5,1,1,1,4,2,7,1,6,2,1,4,4,4,4,5,5,1,3,1,12083.33333
Q,5,12,2,7,4,1,1,3,3,0,3,3,7,1,4,2,2,2,3,2,1,3,3,1,1,1,1191.666667
G,2,16,2,12,8,5,2,1,1,0,5,5,12,1,3,5,2,5,4,5,4,3,4,1,3,2,4198.333333
R,3,16,1,7,9,5,5,1,3,0,3,4,7,1,3,2,2,4,1,4,3,5,5,1,1,1,953.3333333
O,1,18,2,13,8,4,3,2,1,4,3,5,12,2,6,5,1,4,5,1,4,1,1,1,3,2,7500
Q,3,14,2,11,5,3,4,1,1,0,3,5,7,1,1,4,1,3,1,4,3,5,5,1,1,1,3033.333333
A,9,9,1,3,0,1,1,1,3,0,1,1,1,1,1,2,4,1,1,2,2,5,5,2,1,0,2912
P,5,12,2,7,4,5,2,1,3,0,1,2,7,2,5,2,2,5,4,5,1,5,5,2,1,0,1577.333333
F,7,12,1,7,8,1,1,1,3,0,2,3,7,2,3,5,2,4,1,4,2,5,5,2,1,0,2600
H,9,13,2,9,8,5,5,3,2,0,1,2,7,1,1,4,2,5,5,5,5,5,5,1,1,1,2730
Q,3,12,1,7,8,1,1,1,3,0,3,4,7,1,1,2,2,5,3,4,2,1,1,1,1,1,3583.333333
G,3,14,2,11,8,5,5,1,1,0,4,4,11,1,3,5,2,5,5,5,3,1,5,1,1,2,7500
C,2,16,1,12,6,4,4,2,1,0,5,5,12,1,6,4,2,4,4,5,4,2,2,1,4,2,12500
G,5,13,1,9,5,1,1,2,3,0,3,3,7,1,5,5,2,5,4,5,2,5,5,1,5,1,3215.833333
K,4,16,2,12,4,4,2,1,3,0,3,4,12,1,3,2,2,4,4,5,3,1,5,1,5,2,7083.333333
M,3,18,2,13,2,5,5,3,3,0,3,4,13,1,6,4,1,5,2,4,3,2,5,1,5,2,7500
G,5,12,2,7,4,4,1,1,3,0,5,3,3,3,1,4,2,3,2,4,1,2,5,2,1,0,604
P,2,16,1,12,3,5,5,2,2,0,2,3,9,1,1,5,2,5,5,5,5,5,5,1,2,2,3250
P,2,18,2,13,2,2,1,1,2,0,4,2,12,1,5,2,2,5,4,5,2,1,5,1,3,2,3750
K,2,16,1,12,5,5,5,3,1,0,4,3,12,1,6,5,2,5,4,2,4,1,1,1,5,2,8333.333333
H,4,12,1,7,8,5,5,1,1,0,5,5,7,1,3,5,1,5,3,5,1,1,5,1,1,1,1775
H,2,18,1,13,6,4,4,1,2,3,5,3,13,3,5,3,1,4,4,3,4,4,4,2,1,0,3900
Q,2,21,2,14,8,3,4,1,3,1,3,4,13,1,3,3,2,3,3,4,2,1,1,1,1,2,5833.333333
J,2,12,1,7,4,3,1,1,1,0,4,5,12,1,5,5,1,3,2,5,3,1,5,1,4,2,5625
O,2,19,2,13,4,5,5,2,2,1,2,3,13,1,5,2,1,5,5,3,4,2,1,1,5,2,4416.666667
P,2,18,1,13,3,5,2,1,1,2,4,4,13,1,5,1,1,5,5,4,4,1,5,1,2,1,4166.666667
G,5,9,2,3,0,1,1,1,3,0,2,5,3,1,3,2,1,1,5,4,1,5,5,2,1,0,713.3333333
Q,2,16,2,12,5,5,4,3,2,0,3,4,12,2,5,5,1,3,4,5,4,5,5,1,4,2,3293.333333
O,1,16,2,12,4,5,5,2,3,2,2,3,13,2,6,5,5,5,4,5,5,1,5,1,4,2,19583.33333
Q,3,14,2,11,8,1,1,1,1,0,4,2,11,2,1,1,3,3,1,5,4,1,5,1,1,1,2191.666667
F,7,12,2,7,1,2,1,1,3,0,4,4,7,2,1,1,3,2,2,4,1,5,5,1,1,1,1369.166667
H,1,12,2,7,4,5,5,1,3,4,4,4,12,2,1,5,1,5,5,5,5,5,5,1,5,3,4166.666667
G,7,12,1,7,5,3,2,2,3,1,2,2,7,1,2,2,3,5,2,4,1,5,5,1,1,2,2000
S,3,9,1,3,0,1,1,3,3,0,3,4,3,1,1,1,1,3,4,3,1,1,1,2,1,0,162.5
C,8,16,1,12,5,1,1,1,1,2,1,3,3,1,1,5,1,1,1,4,2,5,5,2,1,0,2383.333333
S,5,13,2,9,3,5,2,1,3,0,3,4,9,1,4,2,2,3,3,4,2,5,5,1,2,1,2500
H,8,12,1,7,6,1,1,1,3,0,1,1,2,1,6,2,2,2,2,1,1,1,5,1,1,1,3791.666667
I,9,12,2,7,2,1,1,2,3,0,1,1,2,3,1,5,2,3,2,1,1,5,5,1,1,1,1213.333333
P,2,18,2,13,2,5,1,2,1,0,3,4,13,1,5,5,2,5,5,5,2,1,5,1,1,2,5460
C,4,12,2,7,8,4,5,1,3,0,5,2,11,2,1,2,5,1,1,5,5,4,5,1,2,1,3216
I,5,16,2,12,4,2,2,1,3,0,2,1,7,1,4,2,1,5,2,4,2,5,5,1,1,1,4500
O,2,13,2,9,5,5,5,1,3,0,1,3,9,1,5,1,3,4,4,5,4,1,5,1,1,2,6666.666667
Q,1,16,2,12,2,4,3,2,2,3,3,3,13,2,6,5,1,5,5,5,4,1,5,1,2,2,4083.333333
G,7,12,1,7,6,2,1,1,2,1,3,4,7,1,3,2,1,3,4,5,3,5,5,1,1,1,3673.333333
S,4,16,1,12,3,2,1,3,3,0,3,5,11,2,5,2,1,3,1,5,3,3,5,1,2,2,1950
L,3,18,1,13,2,4,4,1,1,0,5,5,7,1,1,3,3,2,2,4,4,1,1,1,2,2,9333.333333
G,2,19,1,13,8,4,4,1,3,2,3,3,13,1,5,5,1,4,4,5,5,2,5,1,3,3,11250
J,2,16,1,12,5,5,5,1,3,0,4,4,13,2,5,2,3,5,2,2,5,1,5,1,5,3,953.3333333
P,2,16,2,12,2,5,5,2,1,0,3,3,12,1,6,5,2,5,2,5,4,2,2,1,2,2,3916.666667
G,5,16,1,12,1,5,4,1,2,4,2,3,11,2,1,5,4,4,5,5,4,5,5,1,2,2,4250
F,4,12,2,7,4,4,4,1,1,1,3,3,7,3,6,3,2,3,4,5,4,1,5,1,1,2,8341.666667
R,2,18,2,13,2,5,4,2,3,0,2,3,13,1,4,3,3,5,5,5,4,4,5,1,1,2,4783.333333
C,7,9,2,3,0,1,2,2,2,2,4,2,7,1,5,5,2,3,5,5,2,5,5,1,1,1,1695
O,2,16,2,12,5,1,1,2,3,0,3,2,12,2,5,2,2,4,2,5,3,1,1,1,5,2,8500
O,2,19,1,13,4,1,5,2,1,0,4,4,13,1,1,2,5,5,5,5,4,1,3,1,1,1,6083.333333
Q,2,16,2,12,8,5,5,2,2,0,3,4,12,1,5,4,1,4,5,5,4,4,5,1,2,2,4583.333333
C,9,12,1,7,9,2,3,2,1,0,2,3,7,1,1,2,2,4,4,4,1,5,5,1,1,2,2805.833333
M,2,18,1,13,6,1,1,2,3,0,1,1,13,1,1,4,2,1,5,5,5,1,1,1,1,2,1700
G,1,16,1,12,4,5,1,1,3,3,2,3,7,1,1,2,4,4,3,5,2,5,5,1,1,1,2652
O,2,16,1,12,4,5,3,2,3,4,4,4,12,1,6,2,2,4,4,3,3,1,5,1,2,2,4391.666667
O,1,16,2,12,8,5,5,2,2,3,1,3,12,1,6,4,1,5,3,2,4,2,5,1,2,1,8583.333333
K,3,16,1,12,2,5,5,1,1,1,3,3,12,2,1,3,2,5,4,5,5,2,5,1,4,2,5000
Q,2,14,2,11,8,1,1,2,3,0,1,4,11,1,3,3,1,5,5,5,4,5,5,1,1,1,2500
I,1,12,2,7,4,4,5,1,2,3,2,3,7,1,2,1,2,5,4,5,4,4,4,1,1,2,318.5
Q,3,12,2,7,8,4,1,1,3,1,3,4,7,1,4,2,1,5,4,4,4,1,5,1,1,2,4556
Q,9,9,2,3,0,1,1,1,3,0,1,1,1,1,1,5,2,4,3,1,1,1,5,2,1,0,650
B,1,18,1,13,6,5,5,1,1,2,4,5,13,1,6,3,2,5,4,4,5,4,5,1,4,2,14166.66667
P,5,14,2,11,4,5,5,2,1,0,1,3,7,1,5,2,2,5,2,5,4,2,1,1,1,1,1500.833333
I,5,9,2,3,0,5,5,1,2,0,3,4,3,3,1,5,4,4,5,5,4,5,5,1,1,2,1083.333333
Q,2,16,1,12,5,2,1,1,1,1,5,5,12,1,3,3,1,5,2,5,4,1,5,1,5,3,5416.666667
